[2026-01-17 23:20:52] INTENT=RETURN_HOME | DECISION=OVERRIDE | ACTION=RETURN_HOME | REASON=Battery unsafe
[2026-01-17 23:26:20] INTENT=RETURN_HOME | DECISION=OVERRIDE | ACTION=RETURN_HOME | REASON=Battery unsafe
[2026-01-18 15:11:02] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:11:03] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:11:04] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:11:05] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:11:07] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:11:08] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:11:09] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:11:10] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:11:11] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:11:12] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:11:13] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:11:14] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:11:15] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:11:16] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:11:17] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:11:18] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:11:19] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:11:20] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:11:21] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:11:22] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:11:23] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:11:24] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:11:25] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:11:26] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:11:27] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:11:28] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
